smiles,Hf_298,S_298,Cp_300,Cp_400,Cp_500,Cp_600,Cp_800,Cp_1000,Cp_1500
C[C](C)C1CC(=O)O1,-46.6327,98.4898,31.7052,39.5411,46.6711,52.8460,62.7340,69.9509,80.3204
COC=C(C)[C](C)C=O,-46.5880,104.8729,41.3048,49.4207,57.1920,64.2327,75.5506,83.8409,95.7306
[O]OC(C=O)C=CO,-46.5445,99.2133,33.0107,39.0796,44.1284,48.2894,54.4342,58.3984,63.2967
[O]OC1(C=O)OC1=O,-46.5297,91.2438,27.6344,31.7037,34.8021,37.1536,40.3350,42.3347,44.9420
[CH2]C(=C)OC(C)=O,-46.5028,92.8564,29.1782,35.8950,41.9262,47.1337,54.9532,59.9580,67.0825
[O]OC1C=CC(=O)C1O,-46.4669,95.0495,32.9108,40.2904,46.1128,50.6754,57.6900,62.5752,68.9995
C=CC(O[O])C(O)=CO,-46.4600,102.3376,38.5533,47.5192,55.1537,61.3460,69.7152,74.6261,80.7313
COC(C)[O],-46.3736,81.7456,24.0371,28.8363,33.2964,37.1983,43.4998,48.1626,55.0486
[CH2]C(C)(O)OO,-46.3713,92.3620,32.4580,37.1188,41.1295,44.5637,49.9737,53.8453,59.3921
COCC(C)O[O],-46.2958,92.1020,33.7557,39.8986,45.6834,50.7620,58.9765,65.0690,74.1013
[CH2]COCO,-46.2437,83.9257,27.6295,32.2503,36.2274,39.6406,45.0359,48.9142,54.4859
CC([O])=O,-46.1839,67.7170,14.5944,17.4806,20.0382,22.2415,25.7388,28.2607,31.8387
COC[CH]O,-46.1188,82.1826,26.7795,31.7465,36.0148,39.6628,45.3863,49.4468,55.1078
CC(O[O])C1OOC1=O,-46.0919,100.4284,35.6272,41.7514,46.7266,50.8383,57.2298,61.8136,68.2021
C[CH]C(OO)OCOO,-45.9816,105.4256,46.2046,54.8509,61.8116,67.3962,75.4767,80.7749,87.6155
[O]OCCCO,-45.8941,91.5661,29.2935,34.1054,38.5872,42.4793,48.7353,53.3311,60.0326
O=C1CC[CH]CO1,-45.8917,81.1737,26.5107,33.6643,39.8544,45.1753,53.5949,59.6331,68.0901
O[CH]C=CO,-45.8114,75.3277,21.1594,26.1386,30.5953,34.3610,40.0358,43.9843,49.0543
[CH2]C1COC(=O)C1,-45.7138,86.2404,26.7671,33.7176,39.7229,44.8833,53.0468,58.9015,67.1232
C=C(C=COC(C)=O)O[O],-45.7111,107.8732,40.6344,48.8201,55.8450,61.8169,71.0206,77.2388,84.6141
CC(C=O)C(C)O[O],-45.6641,103.8624,38.7971,45.7655,51.5097,56.3619,64.2619,70.3397,79.5964
[CH2]C(O)=CO,-45.4998,75.2383,23.9359,29.1721,33.0389,36.0602,40.6817,43.8231,47.8203
[CH2]C1(COO)OOCC1(C)OO,-45.4908,116.7742,54.4260,66.8464,76.9866,85.0369,96.8099,104.9302,115.3115
[O]C(=C=O)COO,-45.4770,92.6577,28.3898,31.7217,34.5726,37.1041,41.1105,43.9673,47.8807
CC(O)[C]=O,-45.4511,81.4394,23.0749,26.8345,30.0370,32.7825,37.1963,40.4825,45.4028
C[C](C)C1(C)OCOO1,-45.3929,106.7183,37.5594,46.9686,55.3904,62.6649,74.2664,82.6858,94.7013
C=C(CO[O])C(OO)C(C)=O,-45.2986,119.9767,50.4376,59.9071,67.8542,74.4602,84.3251,90.7375,98.0834
CO[CH]CO,-45.2845,83.4714,28.2228,32.2004,35.7003,38.7826,43.8622,47.7504,53.9295
C[C](COO)C(C)=CO,-45.1456,105.6776,43.9968,53.0659,61.2102,68.3192,79.4565,87.2801,97.5673
[CH2]C(=O)CO,-45.1235,76.7769,22.9310,27.9003,31.9879,35.1774,39.9005,43.2096,47.5858
[CH2]C(=C=O)C(=O)OO,-45.0468,92.8935,33.0937,37.6985,41.4095,44.4711,48.9799,51.8339,54.8816
C[C]1COOC1(C)CO,-45.0224,100.6888,40.9750,50.8331,59.4866,66.8411,77.8527,85.3413,96.3612
[O]C(=C=O)C=O,-45.0114,78.5201,20.4983,23.5033,25.9769,28.0085,31.0426,33.0766,35.5079
[CH2]C(=O)OC=C(C)C,-44.8384,96.7118,36.2398,43.9538,50.7456,56.6809,66.2465,73.1804,82.5065
[O]CCCO,-44.8004,81.2520,26.3053,31.2714,35.5663,39.2630,45.1315,49.3727,55.4779
CC(C)C1(C)OOCC1O[O],-44.5813,110.7418,50.2395,61.5829,71.3417,79.6922,92.8196,102.1606,115.2380
[CH2]C(=O)C(C)(C)OO,-44.5464,99.6485,40.3416,47.4763,53.5882,58.7934,66.9125,72.6193,80.4477
CC1CC(C)(O[O])COO1,-44.4781,102.4739,42.7551,52.9447,61.7211,69.2398,81.0798,89.5213,101.3368
CC(C)([O])CC=O,-44.3997,93.2382,35.0716,41.7297,47.5041,52.4899,60.4474,66.2492,74.7463
C[CH]C(O)OO,-44.3872,94.6030,30.8977,35.7388,39.9215,43.5180,49.2192,53.3322,59.2502
CCOC[O],-44.3729,82.7037,23.3795,28.2547,32.8282,36.8122,43.2517,48.0193,55.0413
[CH2]C(C)(O)COO,-44.1255,97.8148,38.9865,45.6642,51.1733,55.8418,63.0637,68.0743,74.8099
CC1=COC(O[O])C1=O,-44.0552,95.7704,30.9007,37.7358,43.6088,48.5902,56.2945,61.6137,68.5117
COCCCO[O],-43.8031,93.8997,30.5124,38.0225,44.9160,50.8974,60.5042,67.5479,77.7452
CCOCO[O],-43.7939,89.9199,28.2050,33.0823,37.7231,41.7593,48.2598,53.0461,60.0304
CC1([O])CCC(=O)C1,-43.7689,90.3377,33.0965,41.7534,49.1215,55.2846,65.0853,72.2047,82.3844
CC1(C)[CH]C(O)OO1,-43.7225,93.0344,37.1912,45.0982,51.6118,57.1898,65.9712,72.2360,81.0670
O[C]1OO1,-43.7042,60.5248,11.2109,12.5381,13.6450,14.5271,15.8536,16.7400,17.8082
O=[C]O,-43.7042,60.5248,11.2109,12.5381,13.6450,14.5271,15.8536,16.7400,17.8082
[O]OC1COOCC1OO,-43.6709,99.0802,41.8062,51.3467,58.0055,63.3658,71.5728,77.1633,84.3710
O=C[CH]C=CO,-43.6535,78.5290,22.4650,27.8554,32.3099,36.1400,42.3928,47.1134,54.4501
[CH2]C(O)C(C)OO,-43.5939,96.9864,40.5468,48.5391,53.6131,57.6472,63.8812,68.2239,74.2962
CC(=O)C(C)O[O],-43.5073,95.1006,31.1616,36.7897,41.8029,46.1394,53.0621,58.0969,65.3333
CO[CH]O,-43.4647,75.2732,20.6546,23.5748,26.0204,28.1309,31.7059,34.6228,39.3494
[O]OC1COOC1=O,-43.4467,88.2660,26.5042,31.7133,36.2893,40.2121,46.1517,49.9104,54.7069
[O]OCC(=O)C=O,-43.2248,91.0378,28.0365,31.2325,34.2015,36.9604,41.3185,44.3951,48.4553
[CH2]OCO,-43.2131,75.9973,22.5681,25.3816,27.7172,29.7697,33.1441,35.7237,39.8568
CCC1(C)COOCC1O[O],-43.1507,108.0115,48.6392,60.3927,70.5141,79.1826,92.8232,102.5322,116.0402
[CH2]C=C(O)C=O,-43.0651,77.3360,23.9207,29.2690,33.9247,37.9564,44.4024,49.0795,55.5881
[O]OC(=O)C=O,-43.0231,80.8279,22.0664,24.4285,26.3957,28.0230,30.4333,31.9787,33.7072
[CH2]COC=O,-42.9980,82.9910,20.1198,24.7399,28.8353,32.3419,37.8476,41.7349,46.9315
C[CH]C(O)C=O,-42.9797,89.1752,28.4709,34.1691,39.2152,43.6079,50.5087,55.1811,61.1740
C[C]1CCC(=O)CO1,-42.9618,90.8275,31.6572,39.6577,47.0747,53.7042,64.2354,71.4220,82.0424
C[C]1OCCO1,-42.9537,78.6137,23.4253,29.3938,35.0278,40.0727,47.9648,53.3670,61.5360
[CH2]CC(O)OO,-42.9184,91.0261,33.8845,39.0507,42.8878,46.1391,51.1780,54.7003,59.6216
CC(C)(C)C(C)(C)O[O],-42.7999,104.2486,48.8111,59.0199,67.9529,75.7394,88.3520,97.7430,111.8746
[O]CC1OCO1,-42.7743,79.4495,22.0067,27.4665,32.1758,36.2046,42.5246,46.9873,53.0065
C[C](O)COO,-42.7701,94.4222,31.2333,36.1113,40.2910,43.9009,49.6515,53.8216,59.7968
CC(O[O])C(C)OO,-42.7357,106.9188,41.8130,48.1258,53.1798,57.5285,64.9032,70.5120,79.0524
CCC(=O)O[O],-42.5862,84.6816,25.1298,29.6659,33.6315,37.0307,42.3838,46.1936,51.4541
CC(=O)C(C)[O],-42.5422,87.3961,27.3244,32.6337,37.3437,41.4964,48.2981,53.3753,60.7322
C=C(C)C(C)(CO)O[O],-42.3774,107.0820,44.5072,53.6554,61.3705,67.8519,77.8249,84.8216,94.9600
O=[C]CCO,-42.3682,84.1293,21.2298,24.7247,28.1422,31.1324,35.9987,39.6364,45.0658
C[C](C)C(C)(C)Oc1cocc1C,-42.2775,128.0913,61.9847,75.9471,87.9578,98.2414,114.4512,126.0748,142.7422
C=C(O)C(C)(C)O[O],-42.2742,94.8283,41.6261,50.2657,56.0186,60.6895,67.9831,73.1390,80.4394
CC([C]=O)C(C)OO,-42.2005,106.9033,39.0532,45.8548,51.7415,56.8120,64.8706,70.7033,79.1080
CC1(C)OOCC1(C)O[O],-42.0041,102.4161,44.2551,54.2577,62.8159,70.1328,81.6171,89.7644,101.0830
C=C(C)[CH]CC(=O)OO,-41.9957,108.1932,39.5344,47.8261,55.1031,61.3219,71.0620,77.9244,87.1548
[O]C(C=O)C=O,-41.9503,82.5730,25.8925,28.7005,31.0296,33.0635,36.3696,38.8469,42.6291
CC(C)(C=O)O[O],-41.8545,91.5825,32.2262,38.0067,42.9797,47.2361,53.9321,58.7058,65.4398
CC([CH]O)OO,-41.8365,91.5860,33.1122,37.9381,42.0731,45.5969,51.1006,54.9802,60.3517
[CH2]C(=O)OC(C)C=C,-41.7820,100.1905,35.8600,43.8346,50.9380,57.1576,67.0112,73.7629,82.4627
[CH2]C(=O)OCC(=C)C,-41.7784,101.4021,34.5964,42.6663,49.8335,55.9756,65.6370,72.4864,81.7680
O=CC(O)=[C]O,-41.7738,80.0735,23.0572,27.1023,30.5590,33.4910,38.0169,41.1148,44.9248
[O]OCCO,-41.7376,79.6616,25.2390,29.4668,32.4944,35.0504,39.0469,41.8761,45.8801
C=C(C)C(OO)C(=O)CO[O],-41.5045,122.1380,50.4800,59.0104,66.1800,72.2612,81.6749,88.1925,96.7588
[O]CC(=O)C=O,-41.4762,84.6910,24.6729,27.6294,30.2106,32.4543,36.0693,38.7336,42.6320
C[C](C)C(C)(C)O,-41.0989,100.2808,39.4590,47.2132,54.2188,60.5540,70.9956,78.9143,91.1532
[O]CO,-41.0262,64.4578,13.1852,15.6446,17.7878,19.5346,22.2244,24.1460,26.8231
CC(CCOO)O[O],-40.9098,106.0569,39.9793,46.5970,52.4640,57.5406,65.6301,71.4965,79.8831
[CH2]C(=C)C(C)(CO)OO,-40.8838,107.0118,48.1091,56.8488,64.1069,70.2701,79.8368,86.5106,95.5627
[CH2]OCOC,-40.7172,78.0425,26.4044,31.3793,35.6578,39.3175,45.0674,49.1550,54.8711
CC(C)=CC(O)O[O],-40.7052,102.1599,37.7117,44.5282,50.5780,55.8491,64.3122,70.5227,79.5932
CC1CC(C)(CO[O])OO1,-40.6828,107.7140,43.3560,53.4075,62.1907,69.7046,81.2286,89.1953,101.0829
[CH2]C(=O)OCC=CC,-40.5325,101.7824,34.5107,42.3863,49.4737,55.5676,65.2066,72.1002,81.5917
[O]OCO,-40.5122,72.2162,17.9123,20.2809,22.3181,24.0610,26.8014,28.7533,31.5044
C[C](C)OCC(=O)C1OO1,-40.4622,116.7570,43.0642,50.9686,58.0768,64.1877,73.8564,80.7838,90.4285
CC(CCO[O])OO,-40.4203,106.4620,39.1795,46.2779,52.4945,57.8161,66.1787,72.1097,80.2463
[O]OCc1cocc1O,-40.0717,89.9594,34.5585,43.8372,50.6520,55.2310,61.4007,65.1981,69.2072
